,Unnamed: 0,Title,Company,Location,Snippet,Job Url,Salary,Seniority
1024,1024,Operations Manager,Vrio-Fintech,Remote,Vrio-Fintech *is a payment processing company focusing on cutting-edge technology to automate banking and digital wallet payments for clients across the Globe.,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaE4UUR_EVQ77SkiASFVMKUx_i2X5txYnscV13_I0a8SHsBseSSIFi-o-Jf1ziFQQiIpkJJHJo8WrxKI5Wk0qtN0UmIOYJYiAlioDJrTEBlXal4lnQd-aqEw4aTbV1rSb-fZ6QWXc-FdT0eOl1nWnDKD6-innFr2JN29kbkJ8zdxpxegMz_g7krAOwFE6e4I18uPUveHX-WeWpHQ5qH2-two1lSr4oUzhe6RsgiA1CQgAJNn62zNpgqw4z6FLd1Op_QVlrGMm6VGl-w-8JFIIPRjwOJKjw6XcBnykFUZCcZCNO_atQQSPLXqXnKofYP1T_e0VOgzS-y-T-3U67XXPEB73Jmp9Dr-7Um46tkmRWjCiS4JwxyLA8xgaE03n0rxcyE3HG_KMXl_h-X59h_I2kSd3Zk7dw0WDxz5_UGbB0L2cpHUpf_y2kNxURJ_ZLgfc-V99JVgybsBR3l2bODoyowpX35iTZucs=&p=4&fvj=1&vjs=3,"PHP 50,000 - PHP 60,000 a month",middle_level
1025,1025,Business Development Manager,Zengage,Pasay,Managing both our existing sales pipeline and developing new business opportunities.Take a lead role in the development of proposals and presentations for new…,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CFotHD-krhVRmL6z7Fkx8OwRSN61x6AZz56VJROuU-MXcJg0avP6I4o4w15NbLaHKw7a_6MNBusDESCh-G5WgC6CmM2auVjKfBpAaaVOqOVR7OdnW8EB0hSeO11iaBF9u_AGIuUdXeTQyiClpXpGmtc-9ey9wXSNyFELt7ZWWlHhcePBRpmNs__yRVztN46ShoFsYkpSmIVbMUuaL4OglkTAvqNpdVWhlQ_24WfdoV0xY4oNSXstptuQ9xPPFAdA3Oi9HVHFHhgGHXRAYNbMJbG_Lwyy4T-OhaOuFiJNJHGn8yqB484Mn08tSvqggzFWAw7mIrY4juP4pBL14fP5t3izurxQZf6F7004PnPTf0ImTD3TQ8kE81oyxeSn2yEVS9VSRPOC5D-K_yaKvyrlgw47XiGbwPuaxcsiBIKT3W7aLzkila4QNSQ5kY6-MX3bg7wK7qBxM9pe2BDZdlppU1U_0WXvAsBTBfFcMRTyMunw==&p=5&fvj=1&vjs=3,"PHP 60,000 - PHP 80,000 a month",senior_level
1026,1026, Concession Sales Manager,Richprime Global Inc,Quezon City,"Job Purpose: Responsible for planning, implementing and directing the sales activities of the company in assigned territory to achieve sales objectives.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CENJk4o9GUurtIJdOl7KSv0iEgy0-Xt7T_29a-YielZtoINrID6B-j0nvPJJ7QfUi-pztEjolHFh44gUrUwv5Nq2xdUu_4PTF1aHISwbxJ7rrI_L7yl5QfDcGfdeSE2SWgSzn36oUWkgJ-6T2Jz4mh-SgmGfg35BxhlHMnW-M-m5t1yfJwjPyCGC6AuVza3kF42tZ-tMcbnfDxcKEINhiBHoHzlUWRQed5PQpqr5orlen1tb9gx3dC8sv10R0JXCc_JULTj2b18goRMn9MBnifcNCBQfCr0T6-O-q1FhTn3_GcSn5LIvIM6jhvA8DbZX_UN5U4R_nr4uZAaKqaCS3xAKYiqkaTzOYHyj60FSa4b9gQpviWyneElC2OkcDFfMZLNfrGYL9ztpHBYCaVtKARCTOCbLfi8rNQ3cxeFGP0yhn1LvR-cMOlAJ5NUykb6GR5jYbLSfAn84qR5eo-kYm0SQIXG1kgRlI=&p=6&fvj=1&vjs=3,"PHP 40,000 - PHP 50,000 a month",middle_level
1028,1028, Operations Manager,Making Fine Beverages Corporation - TIGER SUGAR PH,Quezon City,"Responsible for the operations of the company by providing operational leadership, with a goal of achieving 100% customer satisfaction while ensuring…",https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Operation-Manager-cad63fb69680415e?fccid=d7a8729ef11ca065&vjs=3,"PHP 45,000 - PHP 50,000 a month",middle_level
1031,1031,Area Manager,Making Fine Beverages Corp (Tiger Sugar-PH),Makati,Oversee and direct operations at several locations within your assigned area.Ensure all handled stores are complaint with company guidelines and protocols.,https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Area-Manager-c4f19a09a0e9a4ed?fccid=d7a8729ef11ca065&vjs=3,"PHP 24,000 a month",middle_level
1032,1032, ASST. LOBBY MANAGER,The Landmark Makati,Makati,Experience in retail management and extensive knowledge and exposure in Supermarket operations particularly in frontend is an advantage.,https://ph.indeed.com/company/The-Landmark-Makati/jobs/Assistant-Lobby-Manager-c203a0629be6512f?fccid=dd862f1440ed7354&vjs=3,"PHP 30,000 - PHP 40,000 a month",junior_level
1033,1033,Relationship Manager,Asian Venture Philanthropy Network (AVPN),Remote,"AVPN also produces research reports that support ecosystem development, hosts a platform to match the financial and non-financial resources of investors with…",https://ph.indeed.com/company/AVPN-Hong-Kong-Limited/jobs/Relationship-Manager-fe182c95f6af95af?fccid=8b5de540d74427d0&vjs=3,"PHP 60,000 - PHP 70,000 a month",middle_level
1034,1034, Restaurant Manager,Bornga Korean Restaurant,Makati,To follow company instructions and policy and maintain the good standard of quality of service and products;To be a good example to his/her subordinates;,https://ph.indeed.com/company/Bornga-Korean-Restaurant/jobs/Restaurant-Manager-ae7fa6ceeb3279dc?fccid=b13316596ca9feb2&vjs=3,"PHP 20,000 - PHP 35,000 a month",middle_level
1035,1035, Warehouse and Logistics Manager,C&L Decor,Quezon City,"Overall in charge of warehouse and logistics team.Responsible for timely and correct delivery, set up and pull out of rental items.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDqS8H06XiaTtf1G2AYbRf-cCYmmJwCwxas9fpgnlOsIbHVonB7kF8naSN_YaKIg2lFYCivAmp-nFfa2kcajIqEZlQt-xFpwnEtUyN4ItYzWLo2lNWSDlSWctvpWyY3Z_0Eg1FFXTYVeg6788TnmJFSBVHZS2hQ1Cnk_ECfjDCPpfgnF_EQi3t78rhsZ0e7RWCffHQO0OfLAA3T79bxxfbUitCCuMxpvcF8OY8Al7I7Vf3g6kQs_MP0PO2fGxe0ECaZzBST_Sx-ylMZI4gsYNxz9dsEFhD7Je4wMMJrdclqC9gobwHMR4klyDQG9b2oDwC3tqKxXkNZFrGdY_pdtchK5njFtf3besFDusuzfKPhjHieXDTVFF2JGgv4ym6Ha7Jc5NhR9wdq2olnU-3vIK6CzIewpw7TBFsLE8hBQs0zsra9ldaP2fQkHqEv9FnMQ6H2ulBIznJn-j0bPbIl2x0gk7Pu1u-YIw=&p=0&fvj=1&vjs=3,"PHP 30,000 - PHP 50,000 a month",middle_level
1036,1036, HR Manager,pro group electric bike and scooer,Makati,"Develop and implement HR strategies and initiatives aligned with the overall business strategy.Bridge management and employee relations by addressing demands,…",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DrTLwo4BEZ61idMT5iWx7bv10aHPb5f3LgySyddVzyWGBBVhK68pHVzYNTqe2PO8dpsDylIEsqxE5R4t3AmRB7UshjzuTrsEpYCBWZLY4ZGHWksAsfUjYsy0lBAqISzY09hav3dwyGsM4UrEAqz1LRHddgXtXJpRveEj7TtxAt22UZqh984SrVQyBmQifteUNuTrFgftmLf7pLoZMpwn_ny2_XbE1Z59c1BzDfjkRWN7ILO_C6_zwSDjE3HzDdHE_IvP_HK_sD9BroDUpE3mkkPxmHYhpYelJy26ps4VfUXEHJGzWTeQENVQbn35lGuZGBm_aViohQLXqpjVsfzOc0KI5P943aI8hukh3cOFWtA5mzOTR_tarJbIR_uhnNf8MPKM11rfM80C5jM2_l3x_ruSzPolJ8NvTZ6E3J0myoAHKIM6fPhfN2WZf4MBu7lWRpj3GdvWDEtLoFjKgHnJVRF3Ib-o122RU=&p=1&fvj=1&vjs=3,"PHP 40,000 - PHP 55,000 a month",middle_level
1037,1037,Warehouse Manager,Styleright Global Corp,Quezon City,"Manages the Styleright Global warehouse including the oversight of the following major areas: Inventory, Fulfilment, Delivery, Returns and Repairs.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BfV3sViy7UxIQ9fiC1DpSpN_464hoahgMH33x8XuuRcVkHi9eA6qqVpMSmfXqKsTBNUlZZTvQrN3tGBCLoyumm8ai7cw250uCwMIMv3nR2qkECWhczuzoomxU-TshyuInIzxPo52diFMa0udzM5vlu_3k2nEo_H9TgfGqXEqTvOjvRmEX1Cwq7KH4XNw7FhVQp9F6kmHdNqAmGPYZrlI416UdmqBQAQPZgL0pCHmWAGkDK3lkiCtc-YFH2IyRKzWKxNSfJWzwOjpI7HkiZE9NbzDKTotUK3YkbJpKev-bw5BYwZnRbwnXHMk0G5qxN9IPslCbi_otEMvEv-2iytjXGSJNfP9L6iDZjMQBYr2OGDSc85xaLQv2dok7oEdXO3t6-BRvKEL3OqJ_OQhRUwLxJpYVs0AhQ5km9UTX-GtV7Pksb0fOB0epLTK4FMoKqtYlawmRybWZY6ADdDtbLjzZX&p=2&fvj=1&vjs=3,"PHP 30,000 - PHP 40,000 a month",middle_level
1038,1038, Business Development Manager,Counto,Remote,Lead generation: Develop and grow the pipeline of small business owners who might be interested in Counto's services.Event management skills are an added plus.,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CGoa8kOvm4cdVn3yVUHbyOXTpbu9vYfEQ_yhF8woKjCEAqGvvbKDaEfiA9OANXLrI2EcnMoITOVIpsxRGW8qiMl1gm1SzWgUuE1oHQtrAgKyFexJlwjyBEa66QCIrGDlL8stN_4cGd34RgW86ybCTst5u2RjgdJTQ1nKz5_vSxgaeahlEyri8efvpIRRbDip06QFQQjLOzOZ39GV9KIi8KhugIjTrmQkNeg-mme_tNHdu8JxecnEcRCEujsDXtDfII-PMgDwFlwb_rWy6fqN7eWTHFCq4cAt79zzlYC2GzNxzZ-_hxl6Q1gDhb5_5Nrqdg8xdstrJb3EHROolJlV8loeuOigWP4x6issOMoQQZ2gZ_0S7sEDQAoPGnkD7DlGDTSYvFYjc7lGkQbTUGdnK_bOaQzBTYQW0pCQH49qD8RdR-4YWD-L9tdbuWCCKdBBhGl_cAtrkONqzUM0X6aGWbcOFZY0L3QuY=&p=3&fvj=1&vjs=3,"PHP 25,836 - PHP 83,799 a month",senior_level
1039,1039,Operations Manager,Vrio-Fintech,Remote,Vrio-Fintech *is a payment processing company focusing on cutting-edge technology to automate banking and digital wallet payments for clients across the Globe.,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaE4UUR_EVQ77SkiASFVMKUx_i2X5txYnscV13_I0a8SHsBseSSIFi-o-Jf1ziFQQiIpkJJHJo8WrxKI5Wk0qtN0UmIOYJYiAlioDJrTEBlXal4lnQd-aqEw4aTbV1rSb-fZ6QWXc-FdT0eOl1nWnDKD6-innFr2JN29kbkJ8zdxpxegMz_g7kbUEdKdTr7bJKfLJQEpc-jV4ysmQmmFZAiq-_kpV9ApN_wjkhr1eTCEwfn_5iQHqJzGnfdJaWQvH1FyK1mJrNm6VcsCPfuwR2hHzhMiA_NhH2iHQ_LuJ18I2895u2XCXDpdxnDos8bExhuLcyHRH5XWZmYyQQ2Ak2I54pRERNUxb7UKpbXusKPdTqE2J7LQ3aOp6yaqYqZhQcFQnHDIGlPnEDXjQdkQogNB0GpkpPD5PLZpw5JfPh2f349ZK7j6QRyfdrB3DtFfPgcBLv8-g_TJFnZsvv3cD3I3lnffvYUEo=&p=4&fvj=1&vjs=3,"PHP 50,000 - PHP 60,000 a month",middle_level
1040,1040, Marketing Manager (Full Time) Work From Home,DrinkFit,Remote,"Will oversee inbound and Outbound Marketing campaigns of the company.Can analyze data gathered from specific resources, turn into graphs and present them to…",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CzD41_wa0pJQ2EMc362fWKHNxn0qBF-KVwfu_dRalt96OHqgH_bWsYKLkr3nLCnEuEJME5v7SMoSN9XzxN3ECB9_vEh6EHuLUAESJ0up8baAbBPyBl_pOsUL6wyyi3FDO4SlTE_pxkLpy_P00SVR7ks9m79kUrH7_UjyQ95jYmzTh9pp1m3RNEUIhmn0vp-MXal_RtsbJxYumszlHiNYMzzhZXTQfJeX2M_bUszO0mxHMXSbJn32Fkohk3l1mfCESWU89916j8CYxLCS4C3DQL6tIrovItAsEbIA2_e74p-92hEe32KVFu4hiACwQRr1wTLqbtB2gevyVR2rzNnkHZitqTjqxpQmfQCqEDKuRnMLDB1Pxr81Ef4bFXJ5p1yM9uA_WfSKlhOs_2pfujDMnQ-tQOwxMfsqbYwzrMGLyjM3eQCdA2kovcR_6lFAO-0oqKgqApyOtFlGpIHGEo0KWgBxwBIwTGwoEd1tip_pKDWe3xhj5KDWa-&p=5&fvj=1&vjs=3,"PHP 50,000 - PHP 60,000 a month",middle_level
1041,1041, Operations Manager,Making Fine Beverages Corporation - TIGER SUGAR PH,Quezon City,"Responsible for the operations of the company by providing operational leadership, with a goal of achieving 100% customer satisfaction while ensuring…",https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Operation-Manager-cad63fb69680415e?fccid=d7a8729ef11ca065&vjs=3,"PHP 45,000 - PHP 50,000 a month",middle_level
1044,1044,Area Manager,Making Fine Beverages Corp (Tiger Sugar-PH),Makati,Oversee and direct operations at several locations within your assigned area.Ensure all handled stores are complaint with company guidelines and protocols.,https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Area-Manager-c4f19a09a0e9a4ed?fccid=d7a8729ef11ca065&vjs=3,"PHP 24,000 a month",middle_level
1045,1045, ASST. LOBBY MANAGER,The Landmark Makati,Makati,Experience in retail management and extensive knowledge and exposure in Supermarket operations particularly in frontend is an advantage.,https://ph.indeed.com/company/The-Landmark-Makati/jobs/Assistant-Lobby-Manager-c203a0629be6512f?fccid=dd862f1440ed7354&vjs=3,"PHP 30,000 - PHP 40,000 a month",junior_level
1046,1046,Relationship Manager,Asian Venture Philanthropy Network (AVPN),Remote,"AVPN also produces research reports that support ecosystem development, hosts a platform to match the financial and non-financial resources of investors with…",https://ph.indeed.com/company/AVPN-Hong-Kong-Limited/jobs/Relationship-Manager-fe182c95f6af95af?fccid=8b5de540d74427d0&vjs=3,"PHP 60,000 - PHP 70,000 a month",middle_level
1047,1047, Restaurant Manager,Bornga Korean Restaurant,Makati,To follow company instructions and policy and maintain the good standard of quality of service and products;To be a good example to his/her subordinates;,https://ph.indeed.com/company/Bornga-Korean-Restaurant/jobs/Restaurant-Manager-ae7fa6ceeb3279dc?fccid=b13316596ca9feb2&vjs=3,"PHP 20,000 - PHP 35,000 a month",middle_level
1049,1049, Human Resources Manager,GrowthAssistant,Remote,"This position is hand-on and will build and oversee the Human Resources function, owning the end-to-end GrowthAssistant (GA) and internal team member experience…",https://ph.indeed.com/company/GrowthAssistant/jobs/Human-Resource-Manager-0312f9feb3ccda3d?fccid=bc27547eac27f7b0&vjs=3,"PHP 50,000 - PHP 80,000 a month",junior_level
1050,1050,Operations Manager,Vrio-Fintech,Remote,Vrio-Fintech *is a payment processing company focusing on cutting-edge technology to automate banking and digital wallet payments for clients across the Globe.,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaE4UUR_EVQ77SkiASFVMKUx_i2X5txYnscV13_I0a8SHsBseSSIFi-o-Jf1ziFQQiIpkJJHJo8WrxKI5Wk0qtN0UmIOYJYiAlioDJrTEBlXal4lnQd-aqEw4aTbV1rSb-fZ6QWXc-FdT0eOl1nWnDKD6-innFr2JN29kbkJ8zdxpxegMz_g7kQ638lLXoA9n9kYD6haVz52C71JU_7dWXcUdb_aRckWWTzgVU9dCI02j0N_1qhpov6Qu-E7QfHet7XBgJYL_8CdL-9sja2VNFNXF-CRSDkOnFTQkggPOaTf64CSR6Tiq1gclVMa5gaH1qAauMWAzEz86C2Z7dNFGonVJd16yYAF14cvhG9Pqe_I14LlsmjvJXgit_cfeqMwA6ji1UUsp_uiKKL1MPSpxhPmJroURSgoyoxYFvPYnhIseD9QIRfRm6bwahHHGOQ8J7XAgh_CTFyAGXHkRRetAIywZQeSimFR8=&p=0&fvj=1&vjs=3,"PHP 50,000 - PHP 60,000 a month",middle_level
1051,1051,Warehouse Manager,Styleright Global Corp,Quezon City,"Manages the Styleright Global warehouse including the oversight of the following major areas: Inventory, Fulfilment, Delivery, Returns and Repairs.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BfV3sViy7UxIQ9fiC1DpSpN_464hoahgMH33x8XuuRcVkHi9eA6qqVpMSmfXqKsTBNUlZZTvQrN3tGBCLoyumm8ai7cw250uCwMIMv3nR2qkECWhczuzoomxU-TshyuInIzxPo52diFMa0udzM5vlu_3k2nEo_H9TgfGqXEqTvOjvRmEX1Cwq7pTyjrVaY8LV-tnjoa6wnkJyfxiJSZEMOQrvULAxCPOdcrku-bRbvkyWFCMXMprVb2oWWkRp_-HBCT86n6bUkSrQh-GP6oy-uw5G19GF-XtzDM8N9Xud0TijW8fX1UVFoJ7htxusgFBe7iDnSpZUe1M3zzI6DejhdCB190LwAp7-1pGpgcwssumgvPWTLtYWGyn053Nn1ZvVNhnbhGdtK_X1-uAfLpOsUHTnaoBuah-2fJmDQN6ucD3hlzyDAvOZ45OQRrVVOM54uz-5gjvHMsLtFXkoyqYXU&p=1&fvj=1&vjs=3,"PHP 30,000 - PHP 40,000 a month",middle_level
1052,1052, Warehouse and Logistics Manager,C&L Decor,Quezon City,"Overall in charge of warehouse and logistics team.Responsible for timely and correct delivery, set up and pull out of rental items.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDqS8H06XiaTtf1G2AYbRf-cCYmmJwCwxas9fpgnlOsIbHVonB7kF8naSN_YaKIg2lFYCivAmp-nFfa2kcajIqEZlQt-xFpwnEtUyN4ItYzWLo2lNWSDlSWctvpWyY3Z_0Eg1FFXTYVeg6788TnmJFSBVHZS2hQ1Cnk_ECfjDCPpfgnF_EQi3tf2nmk4AFBVZLBmEMUHhyq4S0JOcSCyJ5qe2wOLhdufwbGgsdp9Yo4PQ_rwnnMvVy21ri1O4BHm97Bx9xmvbmnrnUjZZNvraH7Z36Z7m1zqzScZyuleh1md6BjQnJtwWCTYEa_hmNtunymp1k0G6dWvPg7d0c_DbLI33Ee1T6BVRI3fnmxBKDz_yQPkP3W5-t_5KhnZLtuKVNXi3bJYwzdvsQME4ojprzRTL0tB11KVV-oAVhtixBUobc039EtH6LnhYfW6W0axIOt3eFnzCqB-019YH2x-4y4MiJ1egU9-U=&p=2&fvj=1&vjs=3,"PHP 30,000 - PHP 50,000 a month",middle_level
1053,1053, Operations Manager,Making Fine Beverages Corporation - TIGER SUGAR PH,Quezon City,"Responsible for the operations of the company by providing operational leadership, with a goal of achieving 100% customer satisfaction while ensuring…",https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Operation-Manager-cad63fb69680415e?fccid=d7a8729ef11ca065&vjs=3,"PHP 45,000 - PHP 50,000 a month",middle_level
1054,1054,Area Manager (Food and Beverages),Making Fine Beverages Corporation - TIGER SUGAR PH,Manila,Oversee and direct operations at several locations within your assigned area.Ensure all handled stores are compliant with company guidelines and protocols.,https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Area-Manager-faa1d09beb30176c?fccid=d7a8729ef11ca065&vjs=3,"PHP 24,000 - PHP 28,000 a month",middle_level
1055,1055,Restaurant Manager,Landers Central,Alabang,"Monitors and analyzes sales and performance report.Responsible in achieving target sales and profitability of the restaurant.Job Types: Full-time, Permanent.",https://ph.indeed.com/company/Seafood-City/jobs/Restaurant-Manager-bc94ba58f93361c1?fccid=0780ae8b7adf26f3&vjs=3,"PHP 30,000 - PHP 35,000 a month",middle_level
1056,1056,Assistant Restaurant Manager,Popeyes Philippines,Quezon City,The Assistant Restaurant Manager assist in all managing aspects of a restaurant's operation in order to ensure that Popeyes Louisiana Kitchen Philippines Inc.…,https://ph.indeed.com/company/Popeyes-Philippines/jobs/Assistant-Restaurant-Manager-c90487cd156512a8?fccid=4da358b339819494&vjs=3,"PHP 25,000 - PHP 28,000 a month",junior_level
1057,1057, OPERATIONS MANAGER (Food & Bev Industry),Career Purveyors Co.,Alabang,"Day-to-day management of the restaurant operations, including administrative oversight of the brewery, commissary and logistic operations.",https://ph.indeed.com/company/Career-Purveyors-Co./jobs/Operation-Manager-6dba3f4425581e90?fccid=b7032157fd4e9a05&vjs=3,"PHP 25,000 - PHP 35,000 a month",middle_level
1059,1059, SHIFT MANAGER (KENNY ROGERS ROASTERS MATALINO QUEZON CITY),Kenny Rogers Roasters,Quezon City,"Ensure that proper shift endorsement is accomplished at all times for each incoming shift manager Implements the following shift activities/reports, depending…",https://ph.indeed.com/company/Kenny-Rogers-Roasters/jobs/Shift-Manager-4b2d1dec64f345ef?fccid=cf58b7f49cb347ad&vjs=3,"PHP 17,000 - PHP 18,000 a month",middle_level
1060,1060, Restaurant Manager,Bornga Korean Restaurant,Makati,To follow company instructions and policy and maintain the good standard of quality of service and products;To be a good example to his/her subordinates;,https://ph.indeed.com/company/Bornga-Korean-Restaurant/jobs/Restaurant-Manager-ae7fa6ceeb3279dc?fccid=b13316596ca9feb2&vjs=3,"PHP 20,000 - PHP 35,000 a month",middle_level
1062,1062, ASST. LOBBY MANAGER,The Landmark Makati,Makati,Experience in retail management and extensive knowledge and exposure in Supermarket operations particularly in frontend is an advantage.,https://ph.indeed.com/company/The-Landmark-Makati/jobs/Assistant-Lobby-Manager-c203a0629be6512f?fccid=dd862f1440ed7354&vjs=3,"PHP 30,000 - PHP 40,000 a month",junior_level
1063,1063, Food and Beverage Manager,Golden Pyramid Management Solutions Inc.,Makati,"Hire, train and manage, supervise, develop, discipline and counsel all food and beverage management team members according to company policies and procedures.","https://ph.indeed.com/company/GOLDEN-PYRAMID-SKILLS-DEVELOPMENT-AND-MANPOWER-RESOURCES,-INC./jobs/Food-Beverage-Manager-e3252ef49e92eb10?fccid=7d4f76893d11c2e1&vjs=3","PHP 25,000 - PHP 50,000 a month",middle_level
1064,1064,Customer Experience Manager (Permanent WFH),Penbrothers International Inc.,Remote,Contribute in developing and improving our overall customer experience.Define and put in place better processes to improve the customer journey experience.,https://ph.indeed.com/company/Penbrothers-International-Inc./jobs/Customer-Experience-Manager-15382ac3c647d6c1?fccid=f073b02fe5aaf1d9&vjs=3,"PHP 40,000 a month",middle_level
1065,1065,Operations Manager,Vrio-Fintech,Remote,Vrio-Fintech *is a payment processing company focusing on cutting-edge technology to automate banking and digital wallet payments for clients across the Globe.,https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CaE4UUR_EVQ77SkiASFVMKUx_i2X5txYnscV13_I0a8SHsBseSSIFi-o-Jf1ziFQQiIpkJJHJo8WrxKI5Wk0qtN0UmIOYJYiAlioDJrTEBlXal4lnQd-aqEw4aTbV1rSb-fZ6QWXc-FdT0eOl1nWnDKD6-innFr2JN29kbkJ8zdxpxegMz_g7kakDpLiQHu1DN1JhKdM8A31Y20AomZea9B0zeNBojsM81C1d4aDtt12Y5RPtqW7g7zGUeYL9N0UK2Mn9wwIcCEqBfOfly7SY5e2utEJyVNf3Z0JWcYRqBsKNdwY4U0LRfhE0gID28bRXEaDDs_UyPdBJNJdDG7jEsiAsgRX1l62ODrH-LXQ5JYhq4ZPzy0PAIX9OQCHaiceHqkr_hxbHLR6rmg3D8N9GzS-1fkyMOCowGyTADrjyzAxpeP9QS3d1DX-eg8KxEx29AtP5lyZAyVaM0ZaAc1MliwVp_a7xfWjU=&p=0&fvj=1&vjs=3,"PHP 50,000 - PHP 60,000 a month",middle_level
1066,1066, Warehouse and Logistics Manager,C&L Decor,Quezon City,"Overall in charge of warehouse and logistics team.Responsible for timely and correct delivery, set up and pull out of rental items.",https://ph.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDqS8H06XiaTtf1G2AYbRf-cCYmmJwCwxas9fpgnlOsIbHVonB7kF8naSN_YaKIg2lFYCivAmp-nFfa2kcajIqEZlQt-xFpwnEtUyN4ItYzWLo2lNWSDlSWctvpWyY3Z_0Eg1FFXTYVeg6788TnmJFSBVHZS2hQ1Cnk_ECfjDCPpfgnF_EQi3tzLBAfYZ6bTHt5l8YcrVAGCNrpA3bZDFfHImBl4pZADpBYbVQTVsbh2kCAkdq49GlhH-SIUtta8Rh9XhEQvZDztxk7BtAQhCV8Jri4tBts4PD2jUK6JkBw3m8vOditU5VHymGM2c8eVzSrV9VNUY4VOuKyLCWxrE-YsDKzlZ1iTXetodgpvAbxyLFZt-hmJXL6dHJG3Xer9jWZ-4IA0VC4tJuJELh7oP7g-kzmiwTp45R7-mR5d5lFtWcC66ja-iFSzVaVvHVaduI-FZCn4o2viQ7sBZ7bRldWP7HY5lVGR0=&p=1&fvj=1&vjs=3,"PHP 30,000 - PHP 50,000 a month",middle_level
1067,1067, Operations Manager,Making Fine Beverages Corporation - TIGER SUGAR PH,Quezon City,"Responsible for the operations of the company by providing operational leadership, with a goal of achieving 100% customer satisfaction while ensuring…",https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Operation-Manager-cad63fb69680415e?fccid=d7a8729ef11ca065&vjs=3,"PHP 45,000 - PHP 50,000 a month",middle_level
1068,1068,Area Manager (Food and Beverages),Making Fine Beverages Corporation - TIGER SUGAR PH,Manila,Oversee and direct operations at several locations within your assigned area.Ensure all handled stores are compliant with company guidelines and protocols.,https://ph.indeed.com/company/Gastroprime-Holdings-(Tiger-Sugar--PH)/jobs/Area-Manager-faa1d09beb30176c?fccid=d7a8729ef11ca065&vjs=3,"PHP 24,000 - PHP 28,000 a month",middle_level
1069,1069,Restaurant Manager,Landers Central,Alabang,"Monitors and analyzes sales and performance report.Responsible in achieving target sales and profitability of the restaurant.Job Types: Full-time, Permanent.",https://ph.indeed.com/company/Seafood-City/jobs/Restaurant-Manager-bc94ba58f93361c1?fccid=0780ae8b7adf26f3&vjs=3,"PHP 30,000 - PHP 35,000 a month",middle_level
1070,1070,Assistant Restaurant Manager,Popeyes Philippines,Quezon City,The Assistant Restaurant Manager assist in all managing aspects of a restaurant's operation in order to ensure that Popeyes Louisiana Kitchen Philippines Inc.…,https://ph.indeed.com/company/Popeyes-Philippines/jobs/Assistant-Restaurant-Manager-c90487cd156512a8?fccid=4da358b339819494&vjs=3,"PHP 25,000 - PHP 28,000 a month",junior_level
1071,1071, OPERATIONS MANAGER (Food & Bev Industry),Career Purveyors Co.,Alabang,"Day-to-day management of the restaurant operations, including administrative oversight of the brewery, commissary and logistic operations.",https://ph.indeed.com/company/Career-Purveyors-Co./jobs/Operation-Manager-6dba3f4425581e90?fccid=b7032157fd4e9a05&vjs=3,"PHP 25,000 - PHP 35,000 a month",middle_level
1073,1073, SHIFT MANAGER (KENNY ROGERS ROASTERS MATALINO QUEZON CITY),Kenny Rogers Roasters,Quezon City,"Ensure that proper shift endorsement is accomplished at all times for each incoming shift manager Implements the following shift activities/reports, depending…",https://ph.indeed.com/company/Kenny-Rogers-Roasters/jobs/Shift-Manager-4b2d1dec64f345ef?fccid=cf58b7f49cb347ad&vjs=3,"PHP 17,000 - PHP 18,000 a month",middle_level
1074,1074, Restaurant Manager,Bornga Korean Restaurant,Makati,To follow company instructions and policy and maintain the good standard of quality of service and products;To be a good example to his/her subordinates;,https://ph.indeed.com/company/Bornga-Korean-Restaurant/jobs/Restaurant-Manager-ae7fa6ceeb3279dc?fccid=b13316596ca9feb2&vjs=3,"PHP 20,000 - PHP 35,000 a month",middle_level
